#SampleID	State	Year	SiteAlias	SampleID2	Collected_Date	WaterbodyName	Latitude	Longitude	COMID	US_L4CODE	US_L3CODE	DIST_Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI_v2_1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN_2008Cat	NO3_2008Cat	InorgNWetDep_2008Cat	NH4_2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST_Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw_fluxCat	WaterInputCat	wdrw_LDCat	WetIndexCat	Temperature_DegC	SpecConductivity_msCm	DO	Tot_Alk	NO3NO2	Chloride	Chla_area	Color_app	TKN	TN	TP	Turbidity	TDS	Chla_conc	pH
OverStrs_8329	MA	2024	OverStrs_8329	OverStrs_8329	15-AUG-2024	Not Available	42.374876	-71.826431	6078329	59h	59	Strs	1.9701	116.64	52.698	183.3803	2.9176	14.3258	1.3665	3.5296	68.6024	1.1308	0.0349	0.1142	3.6311	0.0178	0.0403	145.0406	0.752095049764093	2	0.0152	0.1803	0	672.3886	12.4641	4.7061	2.4445	4.24	68.89	3.75	15.81	3.75	0	3199.02305847129	2963.88462773325	1212.30501880311	14.5647207846505	8.89875319798995	-10.26185456254	20.7142524672	94.3334	494	2.5649	70.7739	133.4708	0.9508	30.8278	145.6954	594044	2.23821063009283E-05	211.1634	781.4376	23.2	305	9.18	18	0.22	67	0.003	44	0.359	0.58	0.019	1.1	160	0.601	6.76
PrimeRef_0249	MA	2024	PrimeRef_0249	PrimeRef_0249	15-AUG-2024	Maynard Brook	42.32443	-72.04505	7690249	59b	59	Ref	5.112	5.112	52.8164	293.4175	2.173	14.439	4.1887	6.9315	60.7661	2.8419	0.0486	0.1528	2.0556	0.0386	0.269	106.9938	0.753284978147233	0.59	0.0163	0.22	99.93	682.5267	12.6768	4.8092	2.5169	1.01	62.46	4.52	25.28	4.52	0	6668.89465126041	5818.74916296516	1203.21521256162	13.5854250409155	8.26635903690141	-10.9261090597711	16.7487039039	92.5105	469	5.8999	48.988	82.2623	0.8122	8.9093	140.1913	439717	6.70046270678041E-05	241.7973	810.8452	17.2	71	8.41	8.36	0.18	11	0.0011	120	0.76	0.94	0.033	1.6	69	0.218	7.42
PrimeRef_0249	MA	2024	PrimeRef_0249	PrimeRef_0249_QC	15-AUG-2024	Maynard Brook	42.32443	-72.04505	7690249	59b	59	Ref	5.112	5.112	52.8164	293.4175	2.173	14.439	4.1887	6.9315	60.7661	2.8419	0.0486	0.1528	2.0556	0.0386	0.269	106.9938	0.753284978147233	0.59	0.0163	0.22	99.93	682.5267	12.6768	4.8092	2.5169	1.01	62.46	4.52	25.28	4.52	0	6668.89465126041	5818.74916296516	1203.21521256162	13.5854250409155	8.26635903690141	-10.9261090597711	16.7487039039	92.5105	469	5.8999	48.988	82.2623	0.8122	8.9093	140.1913	439717	6.70046270678041E-05	241.7973	810.8452				7.44	0.18	11	0.0012	130	0.536	0.72	0.033	1.6	90	0.252	6.91
PrimeRef_0783	MA	2024	PrimeRef_0783	PrimeRef_0783	16-AUG-2024	Twelvemile Brook	42.1086	-72.357668	7690783	59b	59	Ref	1.0314	4.1877	55.4965	206.6258	3.0207	13.6559	3.8702	4.1076	66.4504	1.3825	0.0146	0.1189	2.6592	0.0066	0.0301	155.5598	0.768074855468221	2.4	3E-04	0.1904	65.79	682.6263	12.6832	4.7963	2.4973	4.19	62.99	0.09	3.49	0.09	0	1647.3668377761	1525.58775862893	1214.73302679756	14.4606281549738	8.77545897251309	-9.5	16.833500199575	15.7927	471.9319	4.99	55.6511	99.95	1.45	13.98	139.56	439717	0	0	737.5916	17.9	163.8	8.88	16.2	0.28	31	8E-04	49	0.306	0.59	0.025	1.3	84	0.156	7.31
PrimeRef_1377	MA	2024	PrimeRef_1377	PrimeRef_1377	17-AUG-2024	Burnshirt River	42.436196	-72.052526	7691377	59b	59	Ref	7.0569	44.8947	50.0068	250.3976	1.9812	14.6151	3.0469	6.8761	62.8349	2.811	0.056	0.1481	2.41	0.0319	0.165	106.9063	0.846648216701427	0.39	5E-04	0.2087	38.76	651.2141	12.0994	4.593	2.4062	0.75	81.07	0.23	12.63	0.23	0	8202.73107811962	7024.30907793397	1188.34012312205	13.942227917485	7.96324374921566	-11.467746355873	19.0263969661	95.8459	469	5.1167	53.3125	94.2893	0.8446	14.0572	141.484	439717	3.12112309248273E-06	8.0581	785.5453	20.5	51	8.95	8.64	0.05	9.1	0.0018	80	0.416	0.42	0.015	1.1	54	0.361	6.53
PrimeRef_1695	MA	2024	PrimeRef_1695	PrimeRef_1695	16-AUG-2024	Not Available	42.201084	-72.189298	7691695	59b	59	Ref	1.9728	1.9728	54	269.1201	1.7585	14.9814	3.2297	7.614	61.3185	3.2538	0.0696	0.156	2.4044	0.0369	0.1779	93.31	0.788743328199269	2.69	0.007	0.19	79.79	699.8505	13.0046	4.9284	2.5749	5.43	73.31	2.87	10.49	2.87	0	2729.39869768496	2435.92418746573	1229.18405502281	13.9037808819343	8.59290022572993	-10.2124088184763	16.612704042325	84.7141	469	5.5	49.4297	134.41	0.64	11.11	127.99	439717	1.36577635638859E-05	130.4691	742.6204	18.2	149.3	8.39	14.4	0.17	30	0.0011	100	0.421	0.59	0.027	2.8	140	0.218	7.24
PrimeRef_1747	MA	2024	PrimeRef_1747	PrimeRef_1747	16-AUG-2024	Bottle Brook	42.153512	-72.259335	7691747	59b	59	Ref	2.9898	2.9898	54.9895	246.923	1.7194	12.7206	3.791	6.8693	56.5474	8.3132	0.0495	0.1388	2.2328	0.0257	0.0903	112.6738	0.793295296128651	0.76	0.0065	0.19	76.64	688.2145	12.792	4.8398	2.5218	1.47	87.36	3.55	2.05	3.55	0	4018.23703466073	3517.65622864144	1221.65765097833	14.0703257733594	8.69488345737508	-9.61619506694762	16.530568778575	15.9113	469.4636	5.1603	54.293	96.8804	1.3667	12.9725	139.5403	439633.3125	3.99367866774532E-05	216.1707	727.4964	17.3	87.3	8.82	25.9	0.25	9.2	6E-04	18	0.15	0.15	0.018	0.61	54	0.127	7.39
PrimeRef_3601	MA	2024	PrimeRef_3601	PrimeRef_3601	16-AUG-2024	Whetstone Brook	42.587089	-72.357188	9343601	58g	58	Ref	13.5792	13.5792	47.9557	285.8785	2.5944	14.3742	5.62	7.7035	59.8957	3.6603	0.0227	0.135	1.7778	0.0149	0.033	157.2105	0.817872080124645	0.1	3E-04	0.19	69.09	696.5518	12.9629	4.9264	2.5855	0.14	94.3	0.23	3.81	0.23	0	13533.8749185356	10926.8272166103	1246.63456101538	13.6027291849152	7.61487285869565	-11.2529958925636	18.003687691425	18.8474	628.825	4.99	55.7159	99.95	1.45	13.98	139.56	302125.9671	1.10139727626488E-05	1.6675	743.4268	16.8	16	9.98	7.76	0.05	1.4	0.0012	43	0.15	0.15	0.011	0.44	18	0.253	7.5
PrimeRef_3739	MA	2024	PrimeRef_3739	PrimeRef_3739	16-AUG-2024	Boyce Brook	42.684987	-72.211591	9343739	58g	58	Ref	6.0678	14.931	48.7361	293.6327	1.3901	14.4328	1.8445	7.0727	60.5691	2.871	0.0539	0.1418	2.7419	0.0451	0.1447	81.8219	0.817853467938741	0.22	0.0031	0.2076	74.46	651.5735	12.1493	4.5987	2.3981	0.29	88.36	1.22	5.56	1.22	0	5860.67358969308	4744.58429349	1203.62725493325	13.525392189469	7.57404903691783	-11.4256155802729	18.168005247875	16.1446	641	3.7196	58.2109	101.7569	6.5077	9.9201	146.2981	301861	1.6380509928793E-05	49.8175	735.6427	19.3	25	9.47	5.18	0.05	3.2	0.0013	72	0.38	0.38	0.022	0.89	30	0.271	7.38
PrimeRef_5529	MA	2024	PrimeRef_5529	PrimeRef_5529	15-AUG-2024	Mulpus Brook	42.620052	-71.730728	6075529	59h	59	Ref	0.5877	4.4514	50.513	137.3914	2.2759	14.2075	4.36	6.645	60.4379	2.6575	0.04	0.15	1.98	0.0402	0.2988	110.3559	0.79666160076508	5.04	0.0024	0.22	100	616.9705	11.4189	4.3226	2.2535	8.88	72.74	0.31	13.48	0.31	0	1038.84921351662	1045.30226551362	1190.05933028484	14.7591009767994	8.81606654915773	-10.4041343969372	18.255135863225	119.1729	494	6.44	45.66	73.97	0.79	5.36	139.3	594044	1.14822628185516E-06	35.648	845.3093	17.6	386	8.64	25.7	0.3	90	0.0031	19	0.15	0.57	0.012	0.68	230	0.629	6.64
PrimeRef_7599	MA	2024	PrimeRef_7599	PrimeRef_7599	16-AUG-2024	Popple Camp Brook	42.547072	-72.155239	7687599	58g	58	Ref	0.6885	1.6965	49	336.9265	3.3	14.5	2.25	3.85	69.6	1.06	0.01	0.12	2.96	0.0068	0.0253	152.2133	0.768583467329285	0.52	0.0154	0.21	100	654.8093	12.1767	4.6214	2.4203	0.78	82.62	4.18	6.27	4.18	0	825.088999480238	713.390830033634	1203.26501672288	13.1955939286275	7.37410377364706	-11.3075818653987	16.994157617225	86.9452	497.3294	3.73	57.98	101.49	6.55	9.75	146.3	439717	9.08499711042266E-06	243.4312	731.9333	15.6	29	9.19	7.34	0.05	2.3	8E-04	20	0.321	0.32	0.03	0.48	19	0.16	7.23
PrimeRef_8122	MA	2024	PrimeRef_8122	PrimeRef_8122	16-AUG-2024	Temple Brook	42.051278	-72.384923	7698122	59b	59	Ref	1.7784	10.9188	56	159.6636	3.1904	14.1688	2.8858	3.9511	68.3641	1.1866	0.0118	0.1196	2.842	0.0067	0.0272	153.5265	0.747588381345892	1.15	0.0102	0.22	40.64	676.5887	12.5687	4.7428	2.461	2.48	79.05	1.82	9.26	1.67	0.15	2933.79205870939	2725.52124041098	1209.95998576923	14.7562551020749	9.01287382332996	-9.62899809711538	17.673068599725	16.3002	679	6.4246	46.1763	74.2461	0.7977	5.4516	139.3028	857306	2.97463927925833E-05	268.0971	745.7707	16.7	100	8.83	18.3	0.26	14	8E-04	34	0.339	0.6	0.021	1.5	50	0.16	7.37
PrimeRef_8211	MA	2024	PrimeRef_8211	PrimeRef_8211	17-AUG-2024	South Wachusett Brook	42.44773	-71.920649	6078211	58g	58	Ref	5.4	9.3897	52	308.764	1.6596	14.3748	2.3998	6.8591	60.0908	2.6932	0.0471	0.141	2.564	0.0458	0.2036	88.949	0.772752520847889	0.94	0.0139	0.2209	98.63	667.2741	12.3868	4.6873	2.4433	1.72	75.24	3.43	13.27	3.43	0	6882.88280045778	5922.04608537935	1256.46552252167	13.4676839485167	8.0379843309	-10.7068999420833	18.1572031463	98.6291	489.3375	6.4272	45.4479	75.2335	0.8758	5.2863	138.7902	593966.8365	5.87271980626333E-05	209.503	783.7063	19	52	8.42	11	0.05	7.4	0.002	80	0.782	0.78	0.035	1.5	55	0.396	7.38
PrimeStrs_0331	MA	2024	PrimeStrs_0331	PrimeStrs_0331	13-AUG-2024	Mill River	42.739681	-70.89903	5860331	59f	59	Strs	3.2472	33.3117	53.1843	14.5346	2.4962	14.154	5.1829	4.9645	60.007	2.7654	0.0443	0.1887	2.3836	0.041	0.0691	103.3786	0.590330647648034	7.12	0.0188	0.2866	0	611.2347	11.0727	4.1566	2.1384	14.58	36.86	3.63	36.5	3.63	0	7360.17681785785	6929.58217426445	1250.48972444013	14.6499850837306	9.23728928808204	-7.4515244364745	19.97000818375	13.9136	509	9.7776	54.0984	103.8122	1.4009	22.9482	147.6897	2004387	5.30422284195071E-05	350.2796	851.0754	22	462	2.11	63.4	0.11	78	0.0012	42	0.422	0.53	0.027	1.1	230	0.252	7.65
PrimeStrs_3013	MA	2024	PrimeStrs_3013	PrimeStrs_3013	14-AUG-2024	Sudbury River	42.334902	-71.394422	6773013	59d	59	Strs	7.6014	282.5694	58.4625	48.5748	2.5743	14.1951	6.4979	8.9436	55.6421	4.5373	0.042	0.2238	1.5302	0.0132	0.6036	138.0799	0.579209237169476	18.12	0.0067	0.1673	0	594.0641	10.8836	4.0839	2.1004	34.9	17.02	0.97	21.58	0.97	0	40843.8354960872	44876.7786455022	1223.86746376983	15.5724737529008	9.56384422957613	-8.36451556867156	20.8844878322	65.6672	609	3.6921	61.0843	115.8884	0.7818	23.4313	122.217	907248	0.000119881615488058	33.3634	837.739	24.8	353	8.37	27.7	0.15	89	9E-04	22	0.363	0.51	0.023	1.2	210	0.186	7.06
PrimeStrs_3543	MA	2024	PrimeStrs_3543	PrimeStrs_3543	17-AUG-2024	Otter River	42.588212	-72.040881	9343543	58g	58	Strs	4.0779	88.002	50.0947	298.5268	1.545	14.856	2.2869	7.3003	61.3095	2.9721	0.0674	0.1509	2.6411	0.042	0.1766	82.037	0.62489466202891	3.93	0.0227	0.1898	8.63	651.2093	12.11	4.5863	2.3938	8.47	48.13	6.49	24.88	6.49	0	7967.27982594837	8036.70290916509	1196.21523727875	13.5196990703597	7.42687307018318	-12.4902449719267	19.836290702375	86.8092	641	2.6777	67.7057	129.671	1.9288	27.6579	145.7471	301861	7.26187447650425E-05	326.5996	783.4734	20.6	255	8.55	17.5	0.65	66	0.0014	260	0.797	1.4	0.048	4.5	180	0.291	6.37
PrimeStrs_3785	MA	2024	PrimeStrs_3785	PrimeStrs_3785	17-AUG-2024	Otter River	42.602529	-72.071799	9343785	58g	58	Strs	10.2843	118.656	49.8418	290.2234	1.4857	14.7706	2.2338	7.42	60.4927	3.0495	0.0622	0.1469	2.6425	0.0432	0.1607	83.0517	0.516375260421088	14.13	0.0112	0.1935	66.44	649.5887	12.0829	4.5764	2.3889	26.83	36.89	5	20.02	5	0	21785.7644210278	21911.4208339035	1194.87251064146	13.5604852298941	7.454777587267	-12.5873369557189	20.1486143761	86.6654	641	2.984	65.4696	120.561	3.517	21.9072	146.1649	301861	0.000106681636295715	190.0337	857.5301	21.2	245	9.12	18.2	0.53	60	0.0037	120	0.782	1.3	0.041	5	180	0.746	6.71
PrimeStrs_4874	MA	2024	PrimeStrs_4874	PrimeStrs_4874	13-AUG-2024	Bartlett Brook	42.704423	-71.223687	6744874	59h	59	Strs	3.9582	17.793	53.8402	33.3938	1.1974	12.8599	0.8179	5.6789	65.6021	2.0354	0.0482	0.1257	2.793	0.0393	0.0706	105.4242	0.542977941702183	27.86	0.0059	0.2153	51.84	599.117	10.9898	4.1384	2.1396	52.45	17.72	1.8	14.71	1.8	0	19646.0835697584	21201.1907898976	1182.07635239882	15.1520720729422	9.22763067030468	-9.45889029561164	20.453762781825	73.7433	550	5.9945	49.3852	80.8097	0.8073	8.2876	140.0352	525943	3.15630444042688E-05	161.64	846.5521	21	380	9.16	53.7	0.24	71	0.0039	47	0.744	0.98	0.041	0.75	250	0.783	7.69
PrimeStrs_5395	MA	2024	PrimeStrs_5395	PrimeStrs_5395	15-AUG-2024	Not Available	42.675028	-71.5821	6075395	59h	59	Strs	7.6464	157.302	49.986	80.265	1.5257	13.9267	1.1031	6.0391	64.2234	2.3126	0.04	0.1313	2.7666	0.0364	0.2164	92.1264	0.334681810926388	9.57	0.0614	0.2379	2.4	603.1742	11.145	4.2125	2.1908	18.63	42.95	20.21	8.48	19.16	1.05	30710.2373039237	31572.0698158435	1186.15268155603	15.0976788012006	8.92565330173023	-10.7017065012712	21.481934021025	14.5097	494	5.5357	56.3783	140.4863	1.929	21.0356	129.7003	594044	0.00123935228622637	332.5162	815.1022	21.1	110	9.62	19.3	0.13	20	0.005	24	0.319	0.45	0.012	0.84	84	1.02	6.96
PrimeStrs_5749	MA	2024	PrimeStrs_5749	PrimeStrs_5749	12-AUG-2024	Catacoonamug Brook	42.553083	-71.669474	6075749	59h	59	Strs	1.2348	37.1853	53	101.6483	1.1775	14.5004	0.98	7.095	59.645	2.755	0.0525	0.135	2.9675	0.0504	0.1369	71.8914	0.770372944876832	9.29	0	0.188	0	614.6323	11.3853	4.2868	2.2169	16.84	51.96	0	23.76	0	0	2235.92309062806	2197.96681815986	1185.34138537901	15.0907121406706	9.0834628771137	-10.1997811704082	19.5134041427	13.7099	494	6.1508	51.3164	78.4099	0.8009	7.2604	139.7772	594044	0	0	778.3484	25.9	284	7.71	38.7	0.05	45	0.0028	17	0.546	0.55	0.011	0.75	130	0.576	7.17
PrimeStrs_5749	MA	2024	PrimeStrs_5749	PrimeStrs_5749_QC	12-AUG-2024	Catacoonamug Brook	42.553083	-71.669474	6075749	59h	59	Strs	1.2348	37.1853	53	101.6483	1.1775	14.5004	0.98	7.095	59.645	2.755	0.0525	0.135	2.9675	0.0504	0.1369	71.8914	0.770372944876832	9.29	0	0.188	0	614.6323	11.3853	4.2868	2.2169	16.84	51.96	0	23.76	0	0	2235.92309062806	2197.96681815986	1185.34138537901	15.0907121406706	9.0834628771137	-10.1997811704082	19.5134041427	13.7099	494	6.1508	51.3164	78.4099	0.8009	7.2604	139.7772	594044	0	0	778.3484	26	285	7.7	38.4	0.05	46	0.0028	12	0.424	0.42	0.012	0.82	120	0.569	7.22
PrimeStrs_5773	MA	2024	PrimeStrs_5773	PrimeStrs_5773	12-AUG-2024	Catacoonamug Brook	42.543979	-71.656803	6075773	59h	59	Strs	0.4347	49.6683	53.5321	97.5377	1.1775	14.5004	0.98	7.095	59.645	2.755	0.0525	0.135	2.9675	0.0504	0.1369	71.8914	0.606448986460582	33.25	0	0.1955	0	614.1068	11.3695	4.2801	2.2128	52.17	30.43	4.97	6	4.97	0	1839.63948983797	2008.78061855844	1186.26478895652	15.1238079228986	9.1145238836853	-10.3000001907246	19.751091379975	23.7692	494	3.5496	65.8751	130.734	1.9736	27.4336	144.3279	594044	1.17233809259677E-05	55.2996	748.5424	22.01	272.6	7.5	38	0.05	52	0.0042	43	0.497	0.5	0.026	1.2	140	0.859	7.24
PrimeStrs_6232	MA	2024	PrimeStrs_6232	PrimeStrs_6232	12-AUG-2024	Merrimack River	42.628174	-71.347754	6746232	59h	59	Strs	11.5128	10686.4038	54.07	43.0078	2.4384	13.9177	2.2589	4.3793	66.0017	1.636	0.0382	0.123	3.0279	0.0222	0.0576	131.1568	0.456865549632607	46.3	0	0.1745	23.05	624.671	11.4708	4.3272	2.2434	71.62	6.07	0.26	3.19	0.26	0	119157.125540058	142169.5941602	1179.94552345216	15.1922634918699	9.19353218370857	-9.80078956449343	22.8293595876	59.1973	568.8411	4.1131	59.3498	111.5925	1.0286	20.7556	125.186	526926.6667	0	0	921.706	23.5	753	7.54	42.6	0.28	170	0.003	190	1.42	1.7	0.101	5.8	400	0.615	6.99
