#SampleID	State	Year	SiteAlias	dashedName	SampleID2	Collected-Date	WaterbodyName	Latitude	Longitude	COMID	US-L4CODE	US-L3CODE	DIST-Cat	CatAreaSqKm	WsAreaSqKm	BFICat	ElevCat	Na2OCat	Al2O3Cat	CaOCat	Fe2O3Cat	SiO2Cat	MgOCat	SCat	P2O5Cat	K2OCat	NCat	HydrlCondCat	CompStrgthCat	ICI-v2-1	PctImp2019Cat	AgKffactCat	KffactCat	PctGlacTilCrsCat	SN-2008Cat	NO3-2008Cat	InorgNWetDep-2008Cat	NH4-2008Cat	PctUrban2019Cat	PctForest2019Cat	PctAg2019Cat	PctWetland2019Cat	PctHay2019Cat	PctCrop2019Cat	NsurpCat	NANICat	PrecipCat	TmaxCat	TmeanCat	TminCat	MSST-Avg	RockNCat	RunoffCat	ClayCat	SandCat	WtDepCat	OmCat	PermCat	RckDepCat	sw-fluxCat	WaterInputCat	wdrw-LDCat	WetIndexCat	Temperature-DegC	SpecConductivity-msCm	DO	Tot-Alk	NO3NO2	Chloride	Chla-area	Color-app	TKN	TN	TP	Turbidity	TDS	Chla-conc	pH
OverStrs_6719-2023	MA	2023	OverStrs-6719	OverStrs-6719-2023	OverStrs-6719	8/1/23	Pecunit Brook	42.189057	-71.144304	5866719	59c	59	Strs	3.0411	3.0411	56	32.7839	1.204	10.1714	1.0929	2.9886	71.3276	1.1686	0.0913	0.1291	2.0377	0.0203	0.0569	93.7264	0.596103347	25.14	0	0.18	0	581.5921	10.4875	3.9253	2.0103	44.37	11.22	0.18	12.19	0.18	0	12487.03909	12225.67403	1284.425365	15.70416052	9.941491933	-7.534596001	18.63649746	3.9467	509	2.35	71.6592	136.77	0.9599	32.24	146.05	2004387	0	0	824.2069	22.1	430	7.25	29.4	0.32	96	0.0025	120	0.447	0.77	0.07	4.2	240	0.441	6.58
OverStrs_6971-2025	MA	2025	OverStrs-6971	OverStrs-6971-2025	OverStrs-6971	8-Sep-25	Quinebaug River	42.067394	-72.007756	6146971	59c	59	Strs	0.9279	366.9768	51.064	148.969	2.4517	14.2577	3.9978	6.1652	62.0108	2.3832	0.0348	0.1448	2.1482	0.0345	0.2519	117.5419	0.558415499	14.4	0.0196	0.22	100	669.3823	12.4859	4.6981	2.4261	25.71	51.8	2.52	4.75	2.52	0	1980.862554	1911.562367	1266.918136	14.86170581	8.899809194	-9.865373474	21.44139571	89.3936	689	4.3556	57.486	136.6091	1.9746	23.4831	143.0945	393382	1.09E-05	229.0073	797.5364	17.6	338.3	9.82	26.1	0.82	62	0.0015	36	0.428	1.2	0.024	2.1	180	0.299	7.45
OverStrs_8329-2024	MA	2024	OverStrs-8329	OverStrs-8329-2024	OverStrs-8329	15-Aug-24	Not Available	42.374876	-71.826431	6078329	59h	59	Strs	1.9701	116.64	52.698	183.3803	2.9176	14.3258	1.3665	3.5296	68.6024	1.1308	0.0349	0.1142	3.6311	0.0178	0.0403	145.0406	0.75209505	2	0.0152	0.1803	0	672.3886	12.4641	4.7061	2.4445	4.24	68.89	3.75	15.81	3.75	0	3199.023058	2963.884628	1212.305019	14.56472078	8.898753198	-10.26185456	20.71425247	94.3334	494	2.5649	70.7739	133.4708	0.9508	30.8278	145.6954	594044	2.24E-05	211.1634	781.4376	23.2	305	9.18	18	0.22	67	0.003	44	0.359	0.58	0.019	1.1	160	0.601	6.76
OverStrs_8635-2025	MA	2025	OverStrs-8635	OverStrs-8635-2025	OverStrs-8635	5-Sep-25	Segreganset River	41.83523239	-71.13593516	6128635	59e	59	Strs	1.1619	28.116	49.1898	13.3207	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.604854108	7.44	0.021	0.215	86.13	580.4352	10.3757	3.8812	1.9859	15.42	37.26	5.27	32.84	5.27	0	2544.223472	2479.983657	1239.324453	15.68970168	10.34425358	-7.176607189	20.55161443	8.2841	668	4.4726	57.6372	104.1782	0.8757	18.2899	142.5469	1206491	7.21E-05	88.0936	893.1015	18.8	244	8.45	26.6	1.3	37	0.003	23	1.08	2.4	0.068	0.43	130	0.606	6.77
OverStrs_9519-2025	MA	2025	OverStrs-9519	OverStrs-9519-2025	OverStrs-9519	6-Sep-25	Wading River	41.9471012	-71.1769499	6129519	59e	59	Strs	1.08	113.0418	55.5467	24.5113	1.0791	8.7641	1.4054	2.9556	64.0112	1.3013	0.2169	0.1263	1.6136	0.1243	0.1677	78.6861	0.759749949	5.03	0.0066	0.1859	0	587.9281	10.5959	3.9658	2.0309	9.25	55.5	0.17	31.25	0.17	0	2729.520005	2748.79646	1265.045855	15.75768666	10.05206074	-7.598916572	20.51164185	8.2623	668	2.35	72.0147	136.77	0.96	32.24	146.05	1206491	0	0	908.8158	20.3	367	8.09	35.9	0.05	69	0.0046	23	0.607	0.61	0.012	0.81	190	0.94	7.09
PrimeRef_0065-2023	MA	2023	PrimeRef-0065	PrimeRef-0065-2023	PrimeRef-0065	8/2/23	East Branch Swift River	42.44333962	-72.18730625	7690065	59b	59	Ref	1.9359	73.5624	48.8749	226.1599	2.5972	14.6704	2.5032	5.4261	65.9271	1.9618	0.0341	0.1339	2.7584	0.0206	0.0875	125.3006	0.8302204	0.38	6.00E-04	0.1956	83.03	699.7318	13.0019	4.9473	2.6014	0.56	90.01	0.33	3.02	0.33	0	2001.855587	1601.220621	1212.718156	14.08753672	7.99653857	-11.16787553	19.61758569	100.5141	469	5.6243	51.4669	88.5845	1.1735	10.209	139.4463	439717	9.66E-07	9.276	729.7685	17.5	69	10.09	7	0.05	12	0.0014	68	0.384	0.38	0.012	0.93	14	0.276	6.72
PrimeRef_0065-2025	MA	2025	PrimeRef-0065	PrimeRef-0065-2025	PrimeRef-0065	8-Sep-25	East Branch Swift River	42.44333962	-72.18730625	7690065	59b	59	Ref	1.9359	73.5624	48.8749	226.1599	2.5972	14.6704	2.5032	5.4261	65.9271	1.9618	0.0341	0.1339	2.7584	0.0206	0.0875	125.3006	0.8302204	0.38	6.00E-04	0.1956	83.03	699.7318	13.0019	4.9473	2.6014	0.56	90.01	0.33	3.02	0.33	0	2001.855587	1601.220621	1212.718156	14.08753672	7.99653857	-11.16787553	19.61758569	100.5141	469	5.6243	51.4669	88.5845	1.1735	10.209	139.4463	439717	9.66E-07	9.276	729.7685	16.8	80.7	9.61	13.4	0.05	13	0.0029	32	0.404	0.4	0.029	0.73	60	0.597	7.41
PrimeRef_0208_QC-2022	MA	2022	PrimeRef-0208	PrimeRef-0208-QC-2022	PrimeRef-0208-QC	9/7/22	West Brook	42.24787164	-73.28014542	7710208	58d	58	BestRef	12.8367	12.8367	45.8339	521.7996	2.7456	14.1271	3.2621	5.5192	66.1293	2.0994	0.0212	0.1288	2.4712	0.0063	0.11	147.618	0.815645721	0.12	0.0003	0.2304	100	669.1029	12.542	4.7437	2.4692	0.12	90.78	0.02	5.17	0.02	0	13860.65012	11556.05579	1300.663039	12.30747972	6.921666772	-11.43239152	17.17512378	157.15	667	5.8687	39.8162	141.3289	1.4202	8.0268	102.7538	612411	5.94E-07	0.4164	713.3639	16.9	0.057	8.7	13.4	0.05	1.4	0.002	50	0.447	0.45	0.022	1.9	47	0.332	6.86
PrimeRef_0208-2022	MA	2022	PrimeRef-0208	PrimeRef-0208-2022	PrimeRef-0208	9/7/22	West Brook	42.24787164	-73.28014542	7710208	58d	58	BestRef	12.8367	12.8367	45.8339	521.7996	2.7456	14.1271	3.2621	5.5192	66.1293	2.0994	0.0212	0.1288	2.4712	0.0063	0.11	147.618	0.815645721	0.12	0.0003	0.2304	100	669.1029	12.542	4.7437	2.4692	0.12	90.78	0.02	5.17	0.02	0	13860.65012	11556.05579	1300.663039	12.30747972	6.921666772	-11.43239152	17.17512378	157.15	667	5.8687	39.8162	141.3289	1.4202	8.0268	102.7538	612411	5.94E-07	0.4164	713.3639	16.8	0.057	8	14	0.05	1.3	0.001	52	0.522	0.52	0.022	2.1	48	0.138	6.45
PrimeRef_0231-2023	MA	2023	PrimeRef-0231	PrimeRef-0231-2023	PrimeRef-0231	8/4/23	Green River	42.62867059	-73.22503856	22290231	58a	58	Ref	11.9016	39.3336	47.0055	500.4512	0.9921	11.5944	6.5992	5.4885	53.8257	2.5276	0.0457	0.1183	2.6983	0.042	0.0673	100.7266	0.734925623	0.8	0.014	0.247	100	678.2527	13.0226	4.8802	2.5056	1.5	88.11	4.78	1.74	4.14	0.64	13487.22525	10775.98748	1277.573053	12.28588238	6.794717146	-11.83608593	16.51364049	226.1871	714	7.7587	36.2649	154.7965	1.3831	8.5715	95.8705	410926	2.29E-05	16.99	669.4524	15.7	223	11.17	78	0.19	14	0.0019	14	0.15	0.46	0.011	2	98	0.392	7.14
